"","n","p","sigma","method","mean_logmse","sd_logmse","se_logmse","reps","sce","var_logmse","ci_lo","ci_hi"
"1",1000,20,1,"rev-weight-xgboost",-1.12163900278988,0.156332818981361,0.00494367781015904,1000,9,0.0244399502906588,-1.13132861129779,-1.11194939428197
"2",1000,20,1,"rev-weight-dnn",-0.939335716197361,0.0968851405524881,0.00306377715571407,1000,9,0.00938673045987537,-0.94534071942256,-0.933330712972161
"3",1000,20,1,"unrev-weight-dnn",-0.910770924065065,0.0977363987525692,0.00309069630360558,1000,9,0.00955240364112121,-0.916828688820132,-0.904713159309998
"4",1000,20,1,"rev-weight-lasso",-0.84127892271471,0.114256091145845,0.00361309484568668,1000,9,0.0130544543639277,-0.848360588612255,-0.834197256817164
"5",1000,20,1,"unrev-weight-lasso",-0.838996177028604,0.1170670463953,0.00370198505557751,1000,9,0.0137046933517193,-0.846252067737536,-0.831740286319672
"6",1000,20,1,"rlearner-lasso",-0.837119014268142,0.119265224809022,0.0037714975604853,1000,9,0.0142241938487466,-0.844511149486693,-0.82972687904959
"7",1000,20,1,"rlearner-xgboost",-0.794162679378235,0.191047550415292,0.0060414540070817,1000,9,0.0364991665196835,-0.806003929232115,-0.782321429524355
"8",1000,20,1,"unrev-weight-xgboost",-0.789431825345862,0.192780882390242,0.0060962667769021,1000,9,0.0371644686151603,-0.80138050822859,-0.777483142463134
"9",1000,40,1,"rev-weight-xgboost",-1.06394926683019,0.157643547353381,0.00498512668065294,1000,10,0.0248514880221578,-1.07372011512427,-1.05417841853611
"10",1000,40,1,"rev-weight-dnn",-0.916860797834347,0.0797619805978159,0.00252229529375257,1000,10,0.00636197354888636,-0.921804496610102,-0.911917099058592
"11",1000,40,1,"unrev-weight-dnn",-0.860412753128402,0.09874789339458,0.00312268257270369,1000,10,0.00975114644986734,-0.866533210970901,-0.854292295285902
"12",1000,40,1,"rev-weight-lasso",-0.832660366815383,0.111743719598434,0.00353364668150247,1000,10,0.0124866588696935,-0.839586314311128,-0.825734419319638
"13",1000,40,1,"rlearner-lasso",-0.830335000888249,0.117815981260816,0.00372566845551894,1000,10,0.0138806054404489,-0.837637311061066,-0.823032690715432
"14",1000,40,1,"unrev-weight-lasso",-0.828495300690513,0.118425294838575,0.00374493664266878,1000,10,0.0140245504576033,-0.835835376510144,-0.821155224870882
"15",1000,40,1,"unrev-weight-xgboost",-0.727395286586257,0.194576746349712,0.00615305698169943,1000,10,0.0378601102200401,-0.739455278270388,-0.715335294902126
"16",1000,40,1,"rlearner-xgboost",-0.726235078499957,0.192195397410597,0.00607775211618714,1000,10,0.0369390707858173,-0.738147472647683,-0.71432268435223
"17",1000,20,3,"rev-weight-dnn",-0.800128749060257,0.125469668196421,0.00396769928766282,1000,11,0.01574263763732,-0.807905439664076,-0.792352058456438
"18",1000,20,3,"unrev-weight-dnn",-0.7911299741462,0.132195752008706,0.00418039673346289,1000,11,0.0174757168491472,-0.799323551743788,-0.782936396548613
"19",1000,20,3,"unrev-weight-lasso",-0.6838066979701,0.244799472591831,0.00774123903398149,1000,11,0.0599267817812387,-0.698979526476704,-0.668633869463497
"20",1000,20,3,"rev-weight-lasso",-0.682569909156428,0.245676051025301,0.00776895887795696,1000,11,0.0603567220473863,-0.697797068557223,-0.667342749755632
"21",1000,20,3,"rlearner-lasso",-0.677853002679762,0.249650345788263,0.00789463711339536,1000,11,0.0623252951521994,-0.693326491422017,-0.662379513937507
"22",1000,20,3,"rev-weight-xgboost",-0.448402594498117,0.291756636154176,0.00922615492716226,1000,11,0.0851219347400004,-0.466485858155355,-0.430319330840879
