"","n","p","sigma","method","mean_logmse","sd_logmse","se_logmse","reps","sce","var_logmse","ci_lo","ci_hi"
"1",1000,20,1,"rev-weight-dnn",-1.05161660865066,0.239462375594143,0.00757246520792208,1000,1,0.0573422293251904,-1.06645864045818,-1.03677457684313
"2",1000,20,1,"unrev-weight-dnn",-1.02361673309043,0.248357221725477,0.00785374494003959,1000,1,0.0616813095831975,-1.03901007317291,-1.00822339300795
"3",1000,20,1,"rev-weight-lasso",-0.757273121804103,0.217522305330173,0.0068786592673393,1000,1,0.0473159533161528,-0.770755293968088,-0.743790949640118
"4",1000,20,1,"unrev-weight-lasso",-0.753016347114568,0.219551477781579,0.0069428273344564,1000,1,0.048202851396075,-0.766624288690103,-0.739408405539033
"5",1000,20,1,"rlearner-lasso",-0.752361783287481,0.219119119390358,0.00692915496163897,1000,1,0.0480131884824059,-0.765942927012293,-0.738780639562668
"6",1000,20,1,"rev-weight-xgboost",-0.632689186068385,0.158405890968703,0.00500923410249399,1000,1,0.0250924262935888,-0.642507284909274,-0.622871087227497
"7",1000,20,1,"unrev-weight-xgboost",-0.501793603270305,0.173334635053186,0.0054813224416213,1000,1,0.0300448957090212,-0.512536995255883,-0.491050211284727
"8",1000,20,1,"rlearner-xgboost",-0.497186322080691,0.167598677501613,0.00529993553737115,1000,1,0.0280893167002897,-0.507574195733938,-0.486798448427444
"9",1000,40,1,"rev-weight-dnn",-0.969534934424825,0.233694127904714,0.0073900571998561,1000,2,0.054612945417145,-0.984019446536543,-0.955050422313107
"10",1000,40,1,"unrev-weight-dnn",-0.89366968462134,0.233890349002518,0.00739626225579649,1000,2,0.0547046953565198,-0.908166358642701,-0.879173010599979
"11",1000,40,1,"rev-weight-lasso",-0.657379359057739,0.234645001394945,0.00742012645981413,1000,2,0.0550582766796337,-0.671922806918975,-0.642835911196504
"12",1000,40,1,"unrev-weight-lasso",-0.65558782200836,0.232261437674289,0.00734475155675993,1000,2,0.0539453754305274,-0.669983535059609,-0.641192108957111
"13",1000,40,1,"rlearner-lasso",-0.654792492850391,0.233782147817378,0.00739284063389077,1000,2,0.0546540926381065,-0.669282460492817,-0.640302525207965
"14",1000,40,1,"rev-weight-xgboost",-0.545565911005684,0.153698476801818,0.00486037259592296,1000,2,0.0236232217711989,-0.555092241293693,-0.536039580717675
"15",1000,40,1,"rlearner-xgboost",-0.414603612435242,0.172232691635951,0.00544647593111038,1000,2,0.0296641000681646,-0.425278705260218,-0.403928519610266
"16",1000,40,1,"unrev-weight-xgboost",-0.409811510300088,0.167616022183775,0.00530048402438039,1000,2,0.0280951308927118,-0.420200458987874,-0.399422561612303
"17",1000,20,3,"rev-weight-dnn",-0.239198946789359,0.393328123273385,0.0124381273734338,1000,3,0.154707012557763,-0.263577676441289,-0.214820217137428
"18",1000,20,3,"unrev-weight-dnn",-0.217216009790349,0.394136387513949,0.0124636869329483,1000,3,0.155343491962546,-0.241644836178927,-0.19278718340177
"19",1000,20,3,"rev-weight-lasso",-0.143792459307263,0.321972976285378,0.0101816795008517,1000,3,0.103666597458064,-0.163748551128932,-0.123836367485593
"20",1000,20,3,"unrev-weight-lasso",-0.136347426866619,0.324342258102814,0.0102566027704709,1000,3,0.105197900391232,-0.156450368296742,-0.116244485436496
"21",1000,20,3,"rlearner-lasso",-0.133418818239619,0.321835702199586,0.0101773385131035,1000,3,0.1035782192103,-0.153366401725301,-0.113471234753936
"22",1000,20,3,"rev-weight-xgboost",0.208924491502203,0.205845110123505,0.00650939393198458,1000,3,0.0423722093617577,0.196166079395513,0.221682903608893
"23",1000,20,3,"unrev-weight-xgboost",0.361543390535235,0.24342367551034,0.00769773251022426,1000,3,0.0592550857989634,0.346455834815195,0.376630946255274
"24",1000,20,3,"rlearner-xgboost",0.365439210274381,0.244145179865562,0.00772054848126657,1000,3,0.0596068688515875,0.350306935251099,0.380571485297664
"25",1000,40,3,"rev-weight-dnn",-0.0715725405780714,0.284583151141055,0.0089993094131368,1000,4,0.0809875699133727,-0.0892111870278195,-0.0539338941283233
"26",1000,40,3,"unrev-weight-dnn",-0.0517836157046587,0.286980858580397,0.00907513157984729,1000,4,0.0823580131915416,-0.0695708736011594,-0.033996357808158
"27",1000,40,3,"rlearner-lasso",0.00251159074928497,0.296762907841174,0.00938446713832751,1000,4,0.088068223470349,-0.0158819648418369,0.0209051463404069
"28",1000,40,3,"unrev-weight-lasso",0.00340350812986451,0.29601679666458,0.00936087303127007,1000,4,0.0876259439075593,-0.0149438030114248,0.0217508192711538
"29",1000,40,3,"rev-weight-lasso",0.00350362053916978,0.291106783793227,0.0092056047911279,1000,4,0.0847431595704369,-0.0145393648514409,0.0215466059297805
"30",1000,40,3,"rev-weight-xgboost",0.305812747300673,0.191276702832429,0.00604870044277657,1000,4,0.0365867770464455,0.293957294432831,0.317668200168515
