,n,p,sigma,method,mean_logmse,sd_logmse,se_logmse,reps,sce,var_logmse,ci_lo,ci_hi
1,1000,20,1,rev-weight-dnn,-0.068038461,0.480833945152126,0.015205304430052,1000,9,0.231201282810558,-0.097840857,-0.038236064
2,1000,20,1,unrev-weight-dnn,-0.010207246,0.465430496301952,0.0147182046081674,1000,9,0.216625546887881,-0.030054927,0.0276404349414819
3,1000,20,1,rev-weight-kern,0.271582722547496,0.372268813359871,0.0117721735206531,1000,9,0.138584069400367,0.248509262447015,0.294656182647976
4,1000,20,1,rev-weight-xgboost,0.31933357316682,0.368937246365175,0.0116668201218463,1000,9,0.136114691755518,0.296466605728001,0.342200540605639
5,1000,20,1,unrev-weight-xgboost,0.389357129551727,0.375309050428384,0.0118683142582869,1000,9,0.140856883333455,0.366095233605485,0.412619025497969
6,1000,20,1,unrev-weight-lasso,0.409741863093345,0.33677404833169,0.0106497304956377,1000,9,0.113416759629716,0.388868391321895,0.430615334864795
7,1000,20,1,unrev-weight-kern,0.410142392371327,0.355589577904715,0.0112447297839679,1000,9,0.126443947914454,0.38810272199475,0.432182062747904
8,1000,20,1,rev-weight-lasso,0.410329152215438,0.337493043737774,0.0106724671267419,1000,9,0.113901554571387,0.389411116647024,0.431247187783852
9,1000,40,1,rev-weight-dnn,0.240772835067718,0.414093603934579,0.0130947895294093,1000,10,0.171473512819528,0.215107047590076,0.26643862254536
10,1000,40,1,unrev-weight-dnn,0.352710437406751,0.378504855553157,0.0119693744898101,1000,10,0.143265925677316,0.329250463406723,0.376170411406779
11,1000,40,1,rev-weight-xgboost,0.406312285899753,0.371813179532655,0.0117577651139229,1000,10,0.138245040474182,0.383267066276464,0.429357505523042
12,1000,40,1,rev-weight-kern,0.411635441827568,0.356714633770338,0.0112803071742709,1000,10,0.127245329945906,0.389526039765997,0.433744843889139
13,1000,40,1,unrev-weight-lasso,0.422868481464281,0.354596819800347,0.0112133360162139,1000,10,0.12573890461252,0.400890342872502,0.444846620056061
14,1000,40,1,rev-weight-lasso,0.423575937193977,0.352023001381496,0.0111319447313413,1000,10,0.123920193501637,0.401757325520549,0.445394548867406
15,1000,40,1,unrev-weight-kern,0.438785168885116,0.359679113355247,0.0113740522499247,1000,10,0.129369064584017,0.416492026475263,0.461078311294968
16,1000,40,1,unrev-weight-xgboost,0.4680261666907,0.364877001653142,0.0115384239103695,1000,10,0.133135226335387,0.445410855826376,0.490641477555025
17,1000,20,3,rev-weight-kern,0.446334075080347,0.357921815863071,0.0113184816239069,1000,11,0.128108026270718,0.424149851097489,0.468518299063204
18,1000,20,3,rev-weight-dnn,0.306778344471548,0.356869952120076,0.0112852187717467,1000,11,0.127356162726185,0.424659315678924,0.468897373264171
19,1000,20,3,unrev-weight-lasso,0.458733373449739,0.358461846118607,0.0113355588800359,1000,11,0.12849489512276,0.436515678044868,0.480951068854609
20,1000,20,3,unrev-weight-dnn,0.382247676558692,0.358042873150846,0.0113223097914742,1000,11,0.128194699014113,0.440055949367402,0.484439403749981
21,1000,20,3,rev-weight-lasso,0.463369203206431,0.358431733468766,0.0113346066344371,1000,11,0.128473307557425,0.441153374202934,0.485585032209927
22,1000,20,3,unrev-weight-kern,0.488267662794635,0.370701530474229,0.0117226116840888,1000,11,0.137419624695935,0.46529134389382,0.511243981695449
23,1000,20,3,rev-weight-xgboost,0.546384006424338,0.377409387444345,0.0119347327465308,1000,11,0.142437845731115,0.522991930241138,0.569776082607538
24,1000,20,3,unrev-weight-xgboost,0.816685857256349,0.368330501423198,0.011647633162092,1000,11,0.135667358278665,0.793856496258649,0.839515218254049
